Артикул_ВБ	Название	Остаток_шт	Объем_л	Цена_с_СПП	Себестоимость	Комиссия_ФБО_%	Выкуп_%	Реклама_на_ед	Хранение_на_ед	Объем_на_ед_л	Эквайринг_%	Себест_в_остатке	ДРР_%	Хранение_ВБ_остаток	Комиссия_остаток	Налог_остаток	НДС	ROI_API_%	Маржа_на_ед	Маржинальность_счет_%	Маржинальность_постав_%
179611318	Petitfee Chamomile Lightening Hydrogel Eye Mask	72	29.16	1003	415.46	32.50	95	236.18	3.99	0.41	2.44	103032		287.28	33485.40	5399.33	4724.41	14.02	58.24	6.67	4.07
212889025	Enoughcollagenwhiteningcovertip01	71	33.23	754	183.24	32.50	90	209.27	3.21	0.47	2.44	75260		227.91	24459.50	4002.54	3502.22	45.90	84.11	13.68	7.93
207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	70	43.75	570	270.81	32.50	97	34.17	3	0.63	2.44	62300		210	20247.50	2983.18	2610.28	30.36	82.22	16.23	9.24
190160008	Elizavecca Milky Piggy EGF elastic retinol [100ml]	67	38.59	1184	602.18	32.50	75	1048.29	3.63	0.58	2.44	127836		243.21	41546.70	5931.07	5189.68	-114.13	-687.29	-60.07	-36.02
663654300	videokamera4gneww	67	274.97	2997	2048.85	24.50	100		11.85	4.10	2.44	269876		793.95	66119.62	15013.01	13136.38	23.79	487.52	16.78	12.10
437776835	ROUND LAB PINE CALMING CICA AMPOULE_30ml	66	23.10	1283	819.72	32.50	83	283.57	3.06	0.35	2.44	138600		201.96	45045	6331.07	5539.68	6.12	50.15	3.73	2.39
180711041	Petitfee EGF	65	26.32	1003	385.05	32.50	100	159.25	3.66	0.41	2.44	93015		237.90	30229.88	4874.39	4265.09	43.53	167.60	19.15	11.71
551518955	CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NEW) [150ml]	65	42.12	1428	719.58	32.50	100		3.45	0.65	2.44	151905		224.25	49369.13	6939.81	6072.34	78.52	565.01	37.93	24.18
226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs]	64	55.30	958	478.17	32.50	94	245.65	2.91	0.86	2.44	95680		186.24	31096	4584.07	4011.07	7.55	36.08	3.93	2.41
206126372	I'm Sorry for My Skin Крем Age Capture Vitalizer	63	18.52	987	573.21	32.50	93	150.21	3.06	0.29	2.44	100170		192.78	32555.25	4649.05	4067.92	16.70	95.73	9.77	6.02
608624295	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком	62	167.40	866	314.85	31	97		10.32	2.70	2.44	78864		639.84	24447.84	4014.36	3512.56	82.05	258.32	35.42	20.31
214312149	SKIN1004 - Madagascar Centella Hyalu-Cica Sleeping Pack [30ml]	61	21.96	858	294.15	32.50	90	198.46	3	0.36	2.44	84302		183	27398.15	3913.12	3423.98	66.46	195.48	23.38	14.14
608837066	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка	61	164.70	794	269.87	31	98		8.43	2.70	2.44	71126		514.23	22049.06	3621.23	3168.58	127.43	343.88	45.19	29.49
170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	58	23.20	747	304.77	32.50	91		2.91	0.40	2.44	67628		168.78	21979.10	3239.33	2834.41	85.02	259.11	36.97	22.22
174668134	Пистолет перкуссионный V1	56	181.10	718	530.67	25.50	80		9.42	3.23	2.44	51296		527.52	13080.48	3006.21	2630.43	-31.35	-166.36	-32.95	-18.16
214304883	DEOPROCE - SNAIL RECOVERY CREAM [100g]	53	37.10	1316	594.61	32.50	100		3.39	0.70	2.44	112360		179.67	36517	5214.80	4562.95	94.14	559.74	41.52	26.40
