Артикул WB,Артикул продавца,Название,Предмет,Бренд,Остаток_шт,Стоимость_остатка,Заказали_шт,Выкупили_шт,Оборачиваемость_текущих,Оборачиваемость_средних
180852837,Триммер черный v1,Универсальный триммер для бороды и волос с насадками,Триммеры,Триммер для бороды,25,44881,7,6,0.0,0.0
180987509,Petitfee Pink Vita Brightening Eye Mask,Тканевые патчи под глаза от темных кругов,Патчи,Petitfee,29,44573,24,21,0.0,0.0
608837066,DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка,Шампунь для волос женский c черным чесноком,Шампуни,DEOPROCE,44,44479,39,27,0.0,0.0
226117746,PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs],Корейские гидрогелевые маски для лица с ромашкой,Маски гидрогелевые,Petitfee,31,41866,88,67,0.0,0.0
551616449,CELIMAX THE REAL NONI STARTER KIT (NEW) [30ml+10ml+10ml],Увлажняющий набор уходовых средств для лица,Косметические наборы для ухода,Celimax,18,37397,8,7,0.0,0.0
212753217,JIGOTT - Collagen Healing Cream [100ml],Крем для лица с коллагеном,Кремы,Jigott,43,33523,29,25,0.0,0.0
210575566,LEBELAGE - Dr. Peptide Derma Eye Cream [40ml],Увлажняющий крем для кожи вокруг глаз,Кремы,Lebelage,44,30710,21,16,0.0,0.0
207818642,LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml],Увлажняющий крем для кожи вокруг глаз,Кремы,Lebelage,52,28340,22,18,0.0,0.0
204258828,COSRX_Salicylic_Acid_Cleanser,Пенка для умывания от прыщей,Скрабы,COSRX,23,28323,43,27,0.0,0.0
170198180,Enough Rich Gold Double Wea Radiance Foundation 13 тон,Тональный крем для лица увлажняющий эффект сияния,Тональные кремы,ENOUGH,28,25602,152,110,0.0,0.0
226115324,PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs],Корейские гидрогелевые маски для лица охлаждающие с агавой,Маски гидрогелевые,Petitfee,16,23672,223,179,0.0,0.0
611745490,ENOUGH Collagen whitening cover tip concealer #03,Консилер для лица плотный 03,Корректоры,ENOUGH,23,21634,1,0,0.0,0.0
183030830,HairSet/350/8*2,Masil набор для волос,Маски косметические,MASIL,12,16984,15,13,0.0,0.0
207479264,EKEL Ampoule Cream Collagen [50ml],Ампульный крем для лица с коллагеном,Кремы,EKEL,18,15681,108,80,0.0,0.0
340752919,PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch,Патчи для глаз Корея комплект,Патчи,Petitfee,37,14614,5,2,0.0,0.0
315688951,Триммер Золото,Триммер для бритья бороды мужской,Триммеры,Триммер для бороды,14,11267,1,0,0.0,0.0
611744611,ENOUGH Collagen whitening cover tip concealer #02,"Консилер для лица плотный 02, корректор светлый",Корректоры,ENOUGH,12,11029,9,4,0.0,0.0
198620596,Lamp_white_26cm,Кольцевая лампа со штативом белая 26 см,Кольцевые лампы,SKL TECH,4,8968,6,3,0.0,0.0
210579932,LEBELAGE - Dr. Snail Derma Eye Cream [40ml],Увлажняющий крем для кожи вокруг глаз,Кремы,Lebelage,15,7974,46,34,0.0,0.0
100680843,sBotW120_100680843,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,1,4760,131,111,0.0,0.0
205054338,manyo_bifida_biome_toner,Укрепляющий тоник для лица с бифидобактериями,Тоники,manyo,1,2790,44,37,0.0,0.0
48908708,dm7dm6,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,1,783,0,0,0.0,0.0
103431353,dm7dm9,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,1,613,1,1,0.0,0.0
165002270,ENOUGH collagen moisture BB Cream SPF47 PA+++ BB,BB крем тональный солнцезащитный с коллагеном,Кремы,ENOUGH,1,551,52,40,0.0,0.0
437845041,ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml,Крем для лица с ниацинамидом от чёрных точек Корея,Кремы,round lab,0,0,69,65,0.0,0.0
226115478,PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs],Корейские гидрогелевые маски для лица с золотом и жемчугом,Маски гидрогелевые,Petitfee,0,0,0,0,0.0,0.0
551540924,CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads],Отбеливающие тонер пэды для лица,Пэды косметические,Celimax,0,0,5,4,0.0,0.0
