Категория,Артикул WB,Артикул продавца,Предмет,Бренд,Хранение_период,Строк,ШК_сумма,Средний_объем_л,Складов,Хранение_месяц30
Красота,248928555,SOME BY MI - AHA-BHA-PHA 30 Days Miracle Acne Clear Body Cleanser [400g],Скрабы,Some by mi,1.267728,7,7,1.029,2,0.6557213793103449
Декор интерьера,48906308,dm7dm3,Фигурки и статуэтки,Дед Мороз Фигурка,0.78336,1,1,5.76,1,0.4051862068965517
Декор интерьера,103441912,dm7dm12,Фигурки и статуэтки,Дед Мороз Фигурка,0.73728,1,1,5.76,1,0.38135172413793106
Декор интерьера,103431810,dm7dm10,Фигурки и статуэтки,Дед Мороз Фигурка,0.48790896,1,1,6.33648,1,0.25236670344827583
Красота,437248870,ROUND LAB MUGWORT CALMING SOOTHING GEL_150ml,Кремы,round lab,0.32,2,2,0.882,1,0.16551724137931034
Красота,437231408,ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml,Кремы,round lab,0.279,2,2,0.576,2,0.14431034482758623
Красота,154163936,Elizavecca Hell-Pore Control Hyaluronic Acid 97%,Сыворотки,Elizavecca,0.16,1,1,0.3,1,0.08275862068965517
Красота,199425671,Dr.Jart_Teatreatment_Soothing_Spot,Сыворотки,dr.Jart+,0.16,1,1,0.144,1,0.08275862068965517
Для праздника,102259020,white /3х3/,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0.14336,1,1,1.28,1,0.07415172413793103
Красота,226322576,ELIZAVECCA - (х2) Witch Piggy hell pore blemish spot patch,Пластыри косметические,Elizavecca,0.1015,1,1,0.245,1,0.052500000000000005
Красота,437203627,ROUND LAB BIRCH JUICE MOISTURIZING CLEANSER_150ml,Пенки,round lab,0.09856,1,1,1.28,1,0.05097931034482758
