JMELLA;;;;;;;;
NO;IMAGE;NAME (KOR);NAME (ENG);BARCODE; VOL ;1 BOX; RETAIL PRICE ; SUPPLY PRICE 
93;;제이멜라 인 프랑스 엘레강스 퓨어 허그 바디 로션 500ml;JMELLA IN FRANCE ELEGANCE BODY LOTION PURE HUG;8809562562634 ;500ml;20; ₩11 800 ; ₩2 970 
94;;제이멜라 인 프랑스 엘레강스 퓨어 허그 헤어 샴푸_1000ml;JMELLA IN FRANCE ELEGANCE HAIR SHAMPOO PURE HUG;8809562562849 ;1000ml;12; ₩18 800 ; ₩4 510 
95;;제이멜라 인 프랑스 엘레강스 퓨어 허그 바디 워시_1000ml;JMELLA IN FRANCE ELEGANCE BODY WASH PURE HUG;8809562562726 ;1000ml;12; ₩18 800 ; ₩4 510 
96;;제이멜라 인 프랑스 엘레강스 메종 수아 헤어 샴푸 500ml;JMELLA IN FRANCE ELEGANCE HAIR SHAMPOO MAISON SOIR;8809562562788 ;500ml;20; ₩10 900 ; ₩2 750 
97;;제이멜라 인 프랑스 엘레강스 메종 수아 헤어 트리트먼트 500ml;JMELLA IN FRANCE ELEGANCE HAIR TREATMENT MAISON SOIR;8809562562771 ;500ml;20; ₩11 800 ; ₩2 970 
98;;제이멜라 인 프랑스 엘레강스 메종 수아 바디 워시 500ml;JMELLA IN FRANCE ELEGANCE BODY WASH MAISON SOIR;8809562562696 ;500ml;20; ₩10 900 ; ₩2 750 
99;;제이멜라 인 프랑스 엘레강스 메종 수아 바디 로션 500ml;JMELLA IN FRANCE ELEGANCE BODY LOTION MAISON SOIR;8809562562641 ;500ml;20; ₩11 800 ; ₩2 970 
100;;제이멜라 인 프랑스 엘레강스 메종 수아 헤어 샴푸_1000ml;JMELLA IN FRANCE MASION SOIR HAIR SHAMPOO;8809562562832 ;1000ml;12; ₩18 800 ; ₩4 510 
101;;제이멜라 인 프랑스 엘레강스 메종 수아 바디 워시_1000ml;JMELLA IN FRANCE ELEGANCE BODY WASH MAISON SOIR;8809562562733 ;1000ml;12; ₩18 800 ; ₩4 510 
102;;제이멜라 인 프랑스 블루밍 피오니 헤어 세럼;JMELLA IN FRANCE BLOOMING PEONY HAIR SERUM;8809852545101 ;100ml; 60 ; ₩14 800 ; ₩5 610 
103;;제이멜라 인 프랑스 팜므파탈 헤어 세럼;JMELLA IN FRANCE FEMME FATALE HAIR SERUM;8809852545125 ;100ml; 60 ; ₩14 800 ; ₩5 610 
104;;제이멜라 인 프랑스 라임 앤 바질 헤어 세럼;JMELLA IN FRANCE LIME & BASIL HAIR SERUM;8809852545132 ;100ml; 60 ; ₩14 800 ; ₩5 610 
105;;제이멜라 인 프랑스 퀸'5 헤어 세럼 ;JMELLA IN FRANCE QUEEN 5' HAIR SERUM;8809852545149 ;100ml; 60 ; ₩14 800 ; ₩5 610 
106;;제이멜라 인 프랑스 스파클링 로제 헤어 세럼;MELLA IN FRANCE SPARKLING ROSE HAIR SERUM;8809852544845 ;100ml; 60 ; ₩14 800 ; ₩5 610 
107;;제이멜라 인 프랑스 블루밍 피오니 논워시 헤어팩;JMELLA IN FRANCE BLOOMING PEONY NO WASH HAIR PACK;8809794736025 ;200ml; 60 ; ₩28 000 ; ₩6 050 
108;;제이멜라 인 프랑스 팜므파탈 논워시 헤어팩;JMELLA IN FRANCE FEMME FATALE NO WASH HAIR PACK;8809794736032 ;200ml; 60 ; ₩28 000 ; ₩6 050 
109;;제이멜라 인 프랑스 라임앤바질 논워시 헤어팩;JMELLA IN FRANCE LIME & BASIL NO WASH HAIR PACK;8809794736049 ;200ml; 60 ; ₩28 000 ; ₩6 050 
110;;제이멜라 인 프랑스 퀸5 논워시 헤어팩;JMELLA IN FRANCE QUEEN 5 NO WASH HAIR PACK;8809794736056 ;200ml; 60 ; ₩28 000 ; ₩6 050 
111;;제이멜라 인 프랑스 스파클링 로제 논워시 헤어팩;JMELLA IN FRANCE SPARKLING ROSE' NO WASH HAIR PACK;8809794736063 ;200ml; 60 ; ₩28 000 ; ₩6 050 
112;;제이멜라 인 프랑스 블루밍 피오니 바디 스크럽 워시;JMELLA IN FRANCE BLOOMING PEONY BODY SCRUB WASH;8809794736629 ;200ml;60 ; ₩18 800 ; ₩5 390 
113;;제이멜라 인 프랑스 팜므파탈 바디 스크럽 워시;JMELLA IN FRANCE FEMME FATALE BODY SCRUB WASH;8809794736612 ;200ml;60 ; ₩18 800 ; ₩5 390 
114;;제이멜라 인 프랑스 라임 앤 바질 바디 스크럽 워시;JMELLA IN FRANCE LIME & BASIL BODY SCRUB WASH;8809794736605 ;200ml;60 ; ₩18 800 ; ₩5 390 
115;;제이멜라 인 프랑스 퀸 5 바디 스크럽 워시;JMELLA IN FRANCE QUEEN 5 BODY SCRUB WASH;8809794736599 ;200ml;60 ; ₩18 800 ; ₩5 390 
116;;제이멜라 인 프랑스 스파클링 로제 바디 스크럽 워시;JMELLA IN FRANCE SPARKLING ROSE' BODY SCRUB WASH;8809794736582 ;200ml;60 ; ₩18 800 ; ₩5 390 
117;;제이멜라 인 프랑스 블루밍피오니 토너 패드;JMELLA IN FRANCE BLOOMING PEONY TONER PADS;8809711718875 ;"70매
(150ml)";40; ₩14 800 ; ₩4 290 
118;;제이멜라 인 프랑스 팜므파탈 토너 패드;JMELLA IN FRANCE FEMME FATALE TONER PADS;8809711718868 ;"70매
(150ml)";40; ₩14 800 ; ₩4 290 
119;;제이멜라 인 프랑스 라임 앤 바질 토너 패드;JMELLA IN FRANCE LIME & BASIL TONER PADS;8809711718882 ;"70매
(150ml)";40; ₩14 800 ; ₩4 290 
120;;제이멜라 인 프랑스 퀸 5 토너 패드;JMELLA IN FRANCE QUEEN 5 TONER PADS;8809711718899 ;"70매
(150ml)";40; ₩14 800 ; ₩4 290 
121;;제이멜라 인 프랑스 스파클링 로제 토너 패드;JMELLA IN FRANCE SPARKLING ROSÉ TONER PADS;8809711718905 ;"70매
(150ml)";40; ₩14 800 ; ₩4 290 
122;;제이멜라 인 프랑스 블루밍 피오니 마스크_50매입;JMELLA IN FRANCE BLOOMMING PEONY MASK;8809711719780 ; 30ml * 50ea ;8; ₩30 000 ; ₩15 510 
123;;제이멜라 인 프랑스 팜므파탈 마스크_50매입;J.MELLA IN FRANCE FEMME FATALE MASK;8809711719803 ; 30ml * 50ea ;8; ₩30 000 ; ₩15 510 
124;;제이멜라 인 프랑스 라임 앤 바질 마스크_50매입;JMELLA IN FRANCE LIME & BASIL MASK;8809711719827 ; 30ml * 50ea ;8; ₩30 000 ; ₩15 510 
125;;제이멜라 인 프랑스 퀸 5' 마스크_50매입;JMELLA IN FRANCE QUEEN 5 MASK;8809711719841 ; 30ml * 50ea ;8; ₩30 000 ; ₩15 510 
